Type                                  Module                      Label             Process    
-----------------------------------------------------------------------------------------------
edm::TriggerResults                   "TriggerResults"            ""                "HLT"      
HcalNoiseSummary                      "hcalnoise"                 ""                "reRECO"   
L1GlobalTriggerReadoutRecord          "gtDigis"                   ""                "reRECO"   
double                                "fixedGridRhoAll"           ""                "reRECO"   
double                                "fixedGridRhoFastjetAll"    ""                "reRECO"   
double                                "fixedGridRhoFastjetAllCalo"   ""                "reRECO"   
double                                "fixedGridRhoFastjetCentralCalo"   ""                "reRECO"   
double                                "fixedGridRhoFastjetCentralChargedPileUp"   ""                "reRECO"   
double                                "fixedGridRhoFastjetCentralNeutral"   ""                "reRECO"   
reco::BeamSpot                        "offlineBeamSpot"           ""                "reRECO"   
vector<l1extra::L1EmParticle>         "l1extraParticles"          "Isolated"        "reRECO"   
vector<l1extra::L1EmParticle>         "l1extraParticles"          "NonIsolated"     "reRECO"   
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MET"             "reRECO"   
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MHT"             "reRECO"   
vector<l1extra::L1HFRings>            "l1extraParticles"          ""                "reRECO"   
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Central"         "reRECO"   
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Forward"         "reRECO"   
vector<l1extra::L1JetParticle>        "l1extraParticles"          "IsoTau"          "reRECO"   
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Tau"             "reRECO"   
vector<l1extra::L1MuonParticle>       "l1extraParticles"          ""                "reRECO"   
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEgamma"             "reducedEBRecHits"   "PAT"      
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEgamma"             "reducedEERecHits"   "PAT"      
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEgamma"             "reducedESRecHits"   "PAT"      
edm::TriggerResults                   "TriggerResults"            ""                "PAT"      
edm::ValueMap<float>                  "offlineSlimmedPrimaryVertices"   ""                "PAT"      
pat::PackedTriggerPrescales           "patTrigger"                ""                "PAT"      
vector<pat::Electron>                 "slimmedElectrons"          ""                "PAT"      
vector<pat::Jet>                      "slimmedJets"               ""                "PAT"      
vector<pat::Jet>                      "slimmedJetsAK8"            ""                "PAT"      
vector<pat::Jet>                      "slimmedJetsPuppi"          ""                "PAT"      
vector<pat::Jet>                      "slimmedJetsAK8PFCHSSoftDropPacked"   "SubJets"         "PAT"      
vector<pat::Jet>                      "slimmedJetsCMSTopTagCHSPacked"   "SubJets"         "PAT"      
vector<pat::MET>                      "slimmedMETs"               ""                "PAT"      
vector<pat::MET>                      "slimmedMETsPuppi"          ""                "PAT"      
vector<pat::Muon>                     "slimmedMuons"              ""                "PAT"      
vector<pat::PackedCandidate>          "lostTracks"                ""                "PAT"      
vector<pat::PackedCandidate>          "packedPFCandidates"        ""                "PAT"      
vector<pat::Photon>                   "slimmedPhotons"            ""                "PAT"      
vector<pat::Tau>                      "slimmedTaus"               ""                "PAT"      
vector<pat::TriggerObjectStandAlone>    "selectedPatTrigger"        ""                "PAT"      
vector<reco::CATopJetTagInfo>         "caTopTagInfosPAT"          ""                "PAT"      
vector<reco::CaloCluster>             "reducedEgamma"             "reducedEBEEClusters"   "PAT"      
vector<reco::CaloCluster>             "reducedEgamma"             "reducedESClusters"   "PAT"      
vector<reco::Conversion>              "reducedEgamma"             "reducedConversions"   "PAT"      
vector<reco::Conversion>              "reducedEgamma"             "reducedSingleLegConversions"   "PAT"      
vector<reco::GsfElectronCore>         "reducedEgamma"             "reducedGedGsfElectronCores"   "PAT"      
vector<reco::PhotonCore>              "reducedEgamma"             "reducedGedPhotonCores"   "PAT"      
vector<reco::SuperCluster>            "reducedEgamma"             "reducedSuperClusters"   "PAT"      
vector<reco::Vertex>                  "offlineSlimmedPrimaryVertices"   ""                "PAT"      
vector<reco::VertexCompositePtrCandidate>    "slimmedSecondaryVertices"   ""                "PAT"     
