[?1034hType                                  Module                      Label             Process   
----------------------------------------------------------------------------------------------
edm::TriggerResults                   "TriggerResults"            ""                "HLT"     
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"     
ClusterSummary                        "clusterSummaryProducer"    ""                "RECO"    
EBDigiCollection                      "selectDigi"                "selectedEcalEBDigiCollection"   "RECO"    
EEDigiCollection                      "selectDigi"                "selectedEcalEEDigiCollection"   "RECO"    
HcalNoiseSummary                      "hcalnoise"                 ""                "RECO"    
HcalUnpackerReport                    "castorDigis"               ""                "RECO"    
HcalUnpackerReport                    "hcalDigis"                 ""                "RECO"    
L1GlobalTriggerObjectMaps             "l1L1GtObjectMap"           ""                "RECO"    
L1GlobalTriggerReadoutRecord          "gtDigis"                   ""                "RECO"    
double                                "fixedGridRhoAll"           ""                "RECO"    
double                                "fixedGridRhoFastjetAll"    ""                "RECO"    
double                                "ak5CaloJets"               "rho"             "RECO"    
double                                "ak5PFJets"                 "rho"             "RECO"    
double                                "ak5TrackJets"              "rho"             "RECO"    
double                                "ak7BasicJets"              "rho"             "RECO"    
double                                "ak7CaloJets"               "rho"             "RECO"    
double                                "ak7PFJets"                 "rho"             "RECO"    
double                                "kt4CaloJets"               "rho"             "RECO"    
double                                "kt4PFJets"                 "rho"             "RECO"    
double                                "kt6CaloJets"               "rho"             "RECO"    
double                                "kt6CaloJetsCentral"        "rho"             "RECO"    
double                                "kt6PFJets"                 "rho"             "RECO"    
double                                "kt6PFJetsCentralChargedPileUp"   "rho"             "RECO"    
double                                "kt6PFJetsCentralNeutral"   "rho"             "RECO"    
double                                "kt6PFJetsCentralNeutralTight"   "rho"             "RECO"    
double                                "ak5CaloJets"               "sigma"           "RECO"    
double                                "ak5PFJets"                 "sigma"           "RECO"    
double                                "ak5TrackJets"              "sigma"           "RECO"    
double                                "ak7BasicJets"              "sigma"           "RECO"    
double                                "ak7CaloJets"               "sigma"           "RECO"    
double                                "ak7PFJets"                 "sigma"           "RECO"    
double                                "kt4CaloJets"               "sigma"           "RECO"    
double                                "kt4PFJets"                 "sigma"           "RECO"    
double                                "kt6CaloJets"               "sigma"           "RECO"    
double                                "kt6CaloJetsCentral"        "sigma"           "RECO"    
double                                "kt6PFJets"                 "sigma"           "RECO"    
double                                "kt6PFJetsCentralChargedPileUp"   "sigma"           "RECO"    
double                                "kt6PFJetsCentralNeutral"   "sigma"           "RECO"    
double                                "kt6PFJetsCentralNeutralTight"   "sigma"           "RECO"    
edm::AssociationMap<edm::OneToOne<vector<reco::SuperCluster>,vector<reco::HFEMClusterShape>,unsigned int> >    "hfEMClusters"              ""                "RECO"    
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "default"         "RECO"    
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "dyt"             "RECO"    
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "firstHit"        "RECO"    
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "picky"           "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> > >,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak5JetTracksAssociatorAtVertex"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> > >,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak7JetTracksAssociatorAtVertex"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "combinedSecondaryVertexBJetTags"   ""                "RECO"    
