[?1034hType                                  Module                      Label             Process    
-----------------------------------------------------------------------------------------------
L1GlobalTriggerObjectMapRecord        "hltL1GtObjectMap"          ""                "HLT"      
edm::TriggerResults                   "TriggerResults"            ""                "HLT"      
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"      
L1GlobalTriggerObjectMapRecord        "hltL1GtObjectMap"          ""                "reHLT"    
edm::TriggerResults                   "TriggerResults"            ""                "reHLT"    
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "reHLT"    
ClusterSummary                        "clusterSummaryProducer"    ""                "reRECO"   
EBDigiCollection                      "selectDigi"                "selectedEcalEBDigiCollection"   "reRECO"   
EEDigiCollection                      "selectDigi"                "selectedEcalEEDigiCollection"   "reRECO"   
EcalTrigPrimCompactColl               "ecalCompactTrigPrim"       ""                "reRECO"   
HcalNoiseSummary                      "hcalnoise"                 ""                "reRECO"   
HcalUnpackerReport                    "castorDigis"               ""                "reRECO"   
HcalUnpackerReport                    "hcalDigis"                 ""                "reRECO"   
L1GlobalTriggerObjectMaps             "l1L1GtObjectMap"           ""                "reRECO"   
L1GlobalTriggerReadoutRecord          "gtDigis"                   ""                "reRECO"   
L1MuGMTReadoutCollection              "gtDigis"                   ""                "reRECO"   
double                                "fixedGridRhoAll"           ""                "reRECO"   
double                                "fixedGridRhoFastjetAll"    ""                "reRECO"   
double                                "fixedGridRhoFastjetAllCalo"   ""                "reRECO"   
double                                "fixedGridRhoFastjetCentralCalo"   ""                "reRECO"   
double                                "fixedGridRhoFastjetCentralChargedPileUp"   ""                "reRECO"   
double                                "fixedGridRhoFastjetCentralNeutral"   ""                "reRECO"   
double                                "ak4CaloJets"               "rho"             "reRECO"   
double                                "ak4PFJets"                 "rho"             "reRECO"   
double                                "ak4PFJetsCHS"              "rho"             "reRECO"   
double                                "ak4TrackJets"              "rho"             "reRECO"   
double                                "ak5CastorJets"             "rho"             "reRECO"   
double                                "ak7CastorJets"             "rho"             "reRECO"   
double                                "ak8PFJetsCHS"              "rho"             "reRECO"   
double                                "ak8PFJetsCHSSoftDrop"      "rho"             "reRECO"   
double                                "cmsTopTagPFJetsCHS"        "rho"             "reRECO"   
double                                "ak4CaloJets"               "sigma"           "reRECO"   
double                                "ak4PFJets"                 "sigma"           "reRECO"   
double                                "ak4PFJetsCHS"              "sigma"           "reRECO"   
double                                "ak4TrackJets"              "sigma"           "reRECO"   
double                                "ak5CastorJets"             "sigma"           "reRECO"   
double                                "ak7CastorJets"             "sigma"           "reRECO"   
double                                "ak8PFJetsCHS"              "sigma"           "reRECO"   
double                                "ak8PFJetsCHSSoftDrop"      "sigma"           "reRECO"   
double                                "cmsTopTagPFJetsCHS"        "sigma"           "reRECO"   
edm::Association<vector<reco::DeDxHitInfo> >    "dedxHitInfo"               ""                "reRECO"   
edm::Association<vector<reco::Vertex> >    "offlinePrimaryVertices"    ""                "reRECO"   
edm::Association<vector<reco::Vertex> >    "offlinePrimaryVerticesWithBS"   ""                "reRECO"   
edm::AssociationMap<edm::OneToOne<vector<reco::SuperCluster>,vector<reco::HFEMClusterShape>,unsigned int> >    "hfEMClusters"              ""                "reRECO"   
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "default"         "reRECO"   
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "dyt"             "reRECO"   
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "firstHit"        "reRECO"   
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "picky"           "reRECO"   
edm::AssociationVector<edm::RefProd<vector<reco::PFTau> >,vector<edm::Ref<vector<reco::PFTauTransverseImpactParameter>,reco::PFTauTransverseImpactParameter,edm::refhelper::FindUsingAdvance<vector<reco::PFTauTransverseImpactParameter>,reco::PFTauTransverseImpactParameter> > >,edm::Ref<vector<reco::PFTau>,reco::PFTau,edm::refhelper::FindUsingAdvance<vector<reco::PFTau>,reco::PFTau> >,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "hpsPFTauTransverseImpactParameters"   ""                "reRECO"   
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> > >,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak4JetTracksAssociatorAtCaloFace"   ""                "reRECO"   
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> > >,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak4JetTracksAssociatorAtVertex"   ""                "reRECO"   
